held_out_subject,n_train,n_test,n_selected_features,corr,top_k,cold_total_time_seconds,cold_train_time_seconds,warm_total_time_seconds,warm_cache_load_time_seconds,feature_selection_time_seconds,cache_write_time_seconds,cache_size_mb,time_saved_seconds,speedup_cold_vs_warm,mb_per_second_saved,accuracy_cold,accuracy_warm,predictions_match,subject_count,tree_count
Subject_10,28492,993,149,,,3.0172011852264404,1.9113836288452148,0.41828250885009766,0.33719539642333984,0.006013393402099609,1.0437989234924316,29.781461715698242,2.5989186763763428,7.213309477178575,11.459174150544165,0.7603222557905337,0.7603222557905337,True,30,200
Subject_11,28501,984,149,,,3.111520528793335,1.9063231945037842,0.4519035816192627,0.3712430000305176,0.010364055633544922,1.1399903297424316,30.837146759033203,2.6596169471740723,6.88536372658106,11.594581991139233,0.8384146341463414,0.8384146341463414,True,30,200
Subject_1,28571,914,149,,,6.102122068405151,3.701389789581299,0.8783252239227295,0.7599380016326904,0.008024215698242188,2.2974746227264404,61.49979305267334,5.223796844482422,6.94745169807623,11.773006279452046,0.7975929978118161,0.7975929978118161,True,30,400
Subject_10,28492,993,149,,,5.935373306274414,3.6949567794799805,0.8493273258209229,0.729520320892334,0.008170366287231445,2.136413812637329,59.51653575897217,5.086045980453491,6.988322553424901,11.70192640564084,0.7643504531722054,0.7643504531722054,True,30,400
Subject_11,28501,984,149,,,6.016046524047852,3.727980136871338,0.8564605712890625,0.7444958686828613,0.008416414260864258,2.173245429992676,61.65771293640137,5.159585952758789,7.024312298455344,11.950128072473236,0.8302845528455285,0.8302845528455285,True,30,400
Subject_1,118845,914,30,,30.0,2.0371251106262207,1.0229175090789795,0.4928019046783447,0.2189478874206543,0.24010109901428223,0.7418441772460938,20.10811710357666,1.544323205947876,4.13376062731711,13.020666286779447,0.675054704595186,0.675054704595186,True,128,25
Subject_10,118766,993,30,,30.0,2.009777307510376,0.9946231842041016,0.49063849449157715,0.23164725303649902,0.22394800186157227,0.7584524154663086,20.556535720825195,1.5191388130187988,4.096248725027176,13.53170332076218,0.7039274924471299,0.7039274924471299,True,128,25
Subject_100,118763,996,30,,30.0,2.0400028228759766,1.0315754413604736,0.49541664123535156,0.22516369819641113,0.23354387283325195,0.7397861480712891,20.465229988098145,1.544586181640625,4.117751914407044,13.249652386738585,0.8333333333333334,0.8333333333333334,True,128,25
Subject_1,118845,914,30,,30.0,3.354274272918701,1.6386830806732178,0.7239799499511719,0.4398689270019531,0.24744176864624023,1.4332232475280762,40.154324531555176,2.6302943229675293,4.6331038216526945,15.266095577567377,0.6663019693654267,0.6663019693654267,True,128,50
Subject_10,118766,993,30,,30.0,3.388667345046997,1.5825836658477783,0.7495753765106201,0.46849513053894043,0.24271893501281738,1.528451919555664,41.0838737487793,2.639091968536377,4.520782634058398,15.567427826914324,0.7069486404833837,0.7069486404833837,True,128,50
Subject_100,118763,996,30,,30.0,3.367149829864502,1.575920581817627,0.75425124168396,0.46346068382263184,0.2515084743499756,1.5027008056640625,40.86967658996582,2.612898588180542,4.464228421218001,15.64150892607925,0.8423694779116466,0.8423694779116466,True,128,50
Subject_1,118845,914,30,,30.0,5.937592267990112,2.7302675247192383,1.201463222503662,0.9128677845001221,0.2401430606842041,2.9090728759765625,80.31949996948242,4.73612904548645,4.941967558205482,16.95889178653762,0.6673960612691466,0.6673960612691466,True,128,100
Subject_10,118766,993,30,,30.0,6.062703371047974,2.7249186038970947,1.2562849521636963,0.9559271335601807,0.2406013011932373,3.0397777557373047,82.16259384155273,4.806418418884277,4.825898265044245,17.09434898941347,0.7109768378650554,0.7109768378650554,True,128,100
Subject_100,118763,996,30,,30.0,6.0923895835876465,2.8369052410125732,1.2272508144378662,0.9263699054718018,0.24251222610473633,2.9623162746429443,81.68817329406738,4.86513876914978,4.964257926671838,16.79051249515397,0.8493975903614458,0.8493975903614458,True,128,100
Subject_1,118845,914,30,,30.0,11.402777433395386,5.1673643589019775,2.1145753860473633,1.812016487121582,0.2263476848602295,5.9423627853393555,160.74874687194824,9.288202047348022,5.3924667375939945,17.306766805083164,0.6673960612691466,0.6673960612691466,True,128,200
Subject_10,118766,993,30,,30.0,11.34671425819397,5.159180402755737,2.15205454826355,1.8367769718170166,0.23830246925354004,5.874838590621948,164.35315418243408,9.19465970993042,5.272503091220159,17.87484902839083,0.7099697885196374,0.7099697885196374,True,128,200
Subject_100,118763,996,30,,30.0,11.368281364440918,5.200690269470215,2.1126086711883545,1.8108015060424805,0.22470951080322266,5.878391981124878,163.43142795562744,9.255672693252563,5.381158147971718,17.657433810809867,0.8514056224899599,0.8514056224899599,True,128,200
Subject_1,118845,914,30,,30.0,21.80277943611145,9.969975233078003,3.889183521270752,3.5376830101013184,0.24404478073120117,11.472398519515991,321.55022716522217,17.9135959148407,5.60600427232799,17.95006589932235,0.6739606126914661,0.6739606126914661,True,128,400
Subject_10,118766,993,30,,30.0,22.163337469100952,10.026531457901001,3.993710517883301,3.6359305381774902,0.24056625366210938,11.780395984649658,328.65682792663574,18.16962695121765,5.549560332391769,18.088254030147304,0.7190332326283988,0.7190332326283988,True,128,400
